상표명(자재명),자재구분,사업자,유효기간,공시기관,가격,미생물 학명,농약/비료등록여부,연락처(사업장),제조장주소,기능태그,online_url
흙살림골드(미생물+점토광물+쌀겨),토양개량 및 작물생육용,농업회사법인 흙살림바이오(주),2025.02.10 ~ 2028.07.09,국립순천대학교 산학협력단,"15,000원/2kg",Bacillus subtilis,X,043-215-8179,충청북도 괴산군 불정면 한불로 1136,soil_improvement,https://search.shopping.naver.com/catalog/35806343970
재노탄(규산염+미생물),병해관리용,㈜한국바이오케미칼,2023.11.07 ~ 2026.11.06,국립순천대학교 산학협력단,"25,000원/500g",Bacillus subtilis,제36-살균-1호,055-763-0241,경상남도 진주시 문산읍 월아산로950번길 14-20,biocontrol_disease,https://shopping.naver.com/product/4520780181
오가닉탑시드(미생물),병해관리용,주식회사 지비텍,2023.10.10 ~ 2026.10.09,국립순천대학교 산학협력단,"20,000원/1L",Paenibacillus polymyxa,X,031-882-4541,경기도 여주시 북내면 여양3로 77-20,biocontrol_disease,
오가닉씰러스(미생물),병해관리용,주식회사 지비텍,2023.10.10 ~ 2026.10.09,국립순천대학교 산학협력단,"20,000원/1L",Bacillus subtilis,X,031-882-4541,경기도 여주시 북내면 여양3로 77-20,biocontrol_disease,
오가닉솔빛채(미생물),충해관리용,주식회사 지비텍,2023.10.10 ~ 2026.10.09,국립순천대학교 산학협력단,"15,000원/500ml",Bacillus thuringiensis,X,031-882-4541,경기도 여주시 북내면 여양3로 77-20,biocontrol_insect,
빛모음(미생물),토양개량 및 작물생육용,농업회사법인 흙살림바이오(주),2024.04.27 ~ 2027.04.26,국립순천대학교 산학협력단,"25,000/500mL",Rhodopseudomonas palustris,X,043-215-8179,충청북도 괴산군 불정면 한불로 1136,soil_improvement,
대유쏘일닥터(토양미생물제제),토양개량 및 작물생육용,㈜대유,2024.04.27 ~ 2027.04.26,강원대학교 산학협력단,"25,000원/3kg, 35,000원/5kg",Bacillus subtilis,제 충북 괴산048-가-20301 호,02-556-6293(043-834-3012),충청북도 괴산군 괴산읍 대제산단1길 12,soil_improvement,https://shopping.naver.com/product/12814533052
토리골드(미생물),병해관리용,㈜엠바이넥스,2024.04.27 ~ 2027.04.26,강원대학교 산학협력단,"10,000원/80g, 15,000원/100g, 30,000원/250g",Trichoderma harzianum,X,055-761-4701,경상남도 진주시 문산읍 월아산로950번길 25-3,biocontrol_disease,https://search.shopping.naver.com/catalog/53062413433
자연대로(토양미생물제제),토양개량 및 작물생육용,우림바이오㈜,2024.07.15 ~ 2027.07.14,강원대학교 산학협력단,"25,000원/500mL",Bacillus subtilis,제 전남 영광015-가-20301 호,031-294-1234(070-4244-2969),전라남도 영광군 백수읍 백수로 1215,soil_improvement,https://shopping.naver.com/product/11260287548
바이코나 입제(토양미생물제제),토양개량 및 작물생육용,투엠바이아연구소,2024.09.13 ~ 2027.09.12,강원대학교 산학협력단,"25,000원/5kg",Bacillus subtilis,제 충북 청주003-가-20301 호,043-212-2800,충청북도 청주시 청원구 북이면 용계내추로 297-11,soil_improvement,
활인산(토양미생물제제),작물생육용,농업회사법인 흙살림바이오(주),2024.09.13 ~ 2027.09.12,국립순천대학교 산학협력단,"8,000/1L, 35,000/10L",Lactobacillus fermentum,제 충북 괴산03-가-20301 호,043-215-8179,충청북도 괴산군 불정면 한불로 1136,soil_improvement,https://search.shopping.naver.com/catalog/24074294014
대유닥터푸란트(규조토+미생물),병해관리용,㈜대유,2024.09.13 ~ 2027.09.12,강원대학교 산학협력단,"5,000원/40g, 19,000원/500g, 35,000원/1kg",Bacillus subtilis,X,02-556-6293(043-834-3012),충청북도 괴산군 괴산읍 대제산단1길 12,biocontrol_disease,https://shopping.naver.com/product/12305756987
대유마이킹(미생물),병해관리용,㈜대유,2024.09.13 ~ 2027.09.12,강원대학교 산학협력단,"11,000원/250mL, 19,000원/500mL, 35,000원/1L",Streptomyces griseofuscus,X,02-556-6293(043-834-3012),충청북도 괴산군 괴산읍 대제산단1길 12,biocontrol_disease,https://www.nongdal.co.kr/goods/goods_view.php?goodsNo=1000000540&inflow=naver
충사냥(미생물),충해관리용,㈜씨엠씨코리아,2024.10.15 ~ 2027.10.14,강원대학교 산학협력단,"15,000원/100g, 20,000원/2kg",Bacillus thuringiensis,X,042-671-3378~9,대전광역시 유성구 국제과학7로 6 (신동),biocontrol_insect,https://search.shopping.naver.com/catalog/60004174171
대유에코사이드(규조토+미생물),충해관리용,㈜대유,2025.01.16 ~ 2028.01.15,강원대학교 산학협력단,"16,000원/100g, 30,000원/250g",Bacillus thuringiensis,X,02-556-6293(043-834-3012),충청북도 괴산군 괴산읍 대제산단1길 12,biocontrol_insect,https://search.shopping.naver.com/catalog/41851015755
